Boolean,Quotes,Themes
1,"There I was back in Harlem's streets among all the rest of the hustlers. I couldn't sell reefers; the dope squad detectives were too familiar with me. I was a true hustler—uneducated, unskilled at anything honorable, and I considered myself nervy and cunning enough to live by my wits, exploiting any prey that presented itself. I would risk just about anything.","[""race-and-racism-in-america"", ""education"", ""class""]"
1,"It was in this way that for one period, one of our best periods, I remember, we specialized in Oriental rugs. I have always suspected that the fence himself sold the rugs to the people we stole them from. But, anyway, you wouldn't imagine the value of those things. I remember one small one that brought us a thousand dollars. There's no telling what the fence got for it. Every burglar knew that fences robbed the burglars worse than the burglars had robbed the victims. ","[""race-and-racism-in-america"", ""class""]"
1,"I was going through the hardest thing, also the greatest thing, for any human being to do; to accept that which is already within you, and around you.","[""race-and-racism-in-america"", ""religion"", ""education""]"
1,"Let me tell you something: from then until I left that prison, in every free moment I had, if I was not reading in the library, I was reading on my bunk. You couldn't have gotten me out of books with a wedge. Between Mr. Muhammad's teachings, my correspondence, my visitors—usually Ella and Reginald—and my reading of books, months passed without my even thinking about being imprisoned. In fact, up to then, I never had been so truly free in my life. ","[""religion"", ""education"", ""family-and-dysfunction""]"
1,"And Allah blessed me to remain true, firm and strong in my faith in Islam, despite many severe trials to my faith. And even when events produced a crisis between Elijah Muhammad and me, I told him at the beginning of the crisis, with all the sincerity I had in me, that I still believed in him more strongly than he believed in himself.","[""religion"", ""family-and-dysfunction""]"
1,"“Today's Uncle Tom doesn't wear a handkerchief on his head. This modern, twentieth-century Uncle Thomas now often wears a top hat. He's usually well-dressed and well-educated. He's often the personification of culture and refinement. The twentieth-century Uncle Thomas sometimes speaks with a Yale or Harvard accent. Sometimes he is known as Professor, Doctor, Judge, and Reverend, even Right Reverend Doctor. This twentieth-century Uncle Thomas is a professional Negro . . . by that I mean his profession is being a Negro for the white man.”","[""race-and-racism-in-america"", ""religion"", ""education"", ""class""]"
1,"The white liberal may be a little taken aback to know that from all-Negro audiences I never have had one challenge, never one question that defended the white man. That has been true even when a lot of those ""black bourgeoisie"" and ""integration"" -mad Negroes were among the blacks. All Negroes, among themselves, admit the white man's criminal record. They may not know as many details as I do, but they know the general picture.","[""race-and-racism-in-america""]"
1,"And that was how, after twelve years of never thinking for as much as five minutes about myself, I became able finally to muster the nerve, and the strength, to start facing the facts, to think for myself. ","[""religion"", ""education"", ""family-and-dysfunction""]"
1,"We both had to leave to make appointments we had, when he dropped on me something whose logic never would get out of my head. He said, “No man has believed perfectly until he wishes for his brother what he wishes for himself.”","[""religion"", ""family-and-dysfunction""]"
1,"I told him, ""What you are telling me is that it isn't the American white man who is a racist, but it's the American political, economic, and social atmosphere that automatically nourishes a racist psychology in the white man."" He agreed.","[""race-and-racism-in-america"", ""education""]"
1,"But this was the kind of evidence which caused many close observers of the Malcolm X phenomenon to declare in absolute seriousness that he was the only Negro in America who could either start a race riot—or stop one. When I once quoted this to him, tacitly inviting his comment, he told me tartly, ""I don't know if I could start one. I don't know if I'd want to stop one."" It was the kind of statement he relished making.","[""race-and-racism-in-america"", ""class""]"
1,"It is very likely that the Negroes of the United States have a fairly correct idea of what the white people of the country think of them, for that opinion has for a long time been and is still being constantly stated; but they are themselves more or less a sphinx to the whites.","[""racism-and-the-color-line"", ""secrecy-purity-and-origins""]"
1,"I know that in writing the following pages I am divulging the great secret of my life, the secret which for some years I have guarded far more carefully than any of my earthly possessions; and it is a curious study to me to analyze the motives which prompt me to do it. I feel that I am led by the same impulse which forces the un-found-out criminal to take somebody into his confidence, although he knows that the act is likely, even almost certain, to lead to his undoing. I know that I am playing with fire, and I feel the thrill which accompanies that most fascinating pastime; and, back of it all, I think I find a sort of savage and diabolical desire to gather up all the little tragedies of my life, and turn them into a practical joke on society.","[""racism-and-the-color-line"", ""secrecy-purity-and-origins""]"
1,"“Father, father,” that was the word which had been to me a source of doubt and perplexity ever since the interview with my mother on the subject. […] And here he stood before me, just the kind of looking father I had wishfully pictured him to be; but I made no advance toward him; I stood there feeling embarrassed and foolish, not knowing what to say or do. I am not sure but that he felt pretty much the same.","[""collective-progress-and-individual-achievement"", ""secrecy-purity-and-origins""]"
1,"In none of her talks did she ever utter one word of complaint against my father. She always endeavored to impress upon me how good he had been and still was, and that he was all to us that custom and the law would allow. She loved him; more, she worshiped him, and she died firmly believing that he loved her more than any other woman in the world. Perhaps she was right. Who knows?","[""racism-and-the-color-line"", ""secrecy-purity-and-origins""]"
1,"They filled the shops and thronged the sidewalks and lined the curb. I asked my companion if all the colored people in Atlanta lived in this street. He said they did not and assured me that the ones I saw were of the lower class. I felt relieved, in spite of the size of the lower class. The unkempt appearance, the shambling, slouching gait and loud talk and laughter of these people aroused in me a feeling of almost repulsion. Only one thing about them awoke a feeling of interest; that was their dialect. I had read some Negro dialect and had heard snatches of it on my journey down from Washington; but here I heard it in all of its fullness and freedom.","[""racism-and-the-color-line"", ""collective-progress-and-individual-achievement""]"
1,"I said somewhere in the early part of this narrative that because the colored man looked at everything through the prism of his relationship to society as a colored man, and because most of his mental efforts ran through the narrow channel bounded by his rights and his wrongs, it was to be wondered at that he has progressed so broadly as he has. The same thing may be said of the white man of the South; most of his mental efforts run through one narrow channel; his life as a man and a citizen, many of his financial activities, and all of his political activities are impassably limited by the ever present ""Negro question."" […] In this respect I consider the conditions of the whites more to be deplored than that of the blacks.","[""racism-and-the-color-line""]"
1,"The game was really interesting, the players being quite expert, and the excitement was heightened by the bets which were being made on the result. At times the antics and remarks of both players and spectators were amusing. When, at a critical point, a player missed a shot, he was deluged, by those financially interested in his making it, with a flood of epithets synonymous with ""chump""; While from the others he would be jeered by such remarks as ""Nigger, dat cue ain't no hoe-handle."" I noticed that among this class of colored men the word ""nigger"" was freely used in about the same sense as the word ""fellow,"" and sometimes as a term of almost endearment; but I soon learned that its use was positively and absolutely prohibited to white men.","[""racism-and-the-color-line""]"
1,"My glance immediately turned into a stare. Yes, there he was, unmistakably, my father! looking hardly a day older than when I had seen him some ten years before. What a strange coincidence! What should I say to him? What would he say to me? Before I had recovered from my first surprise, there came another shock in the realization that the beautiful, tender girl at my side was my sister. Then all the springs of affection in my heart, stopped since my mother's death, burst out in fresh and terrible torrents, and I could have fallen at her feet and worshiped her. They were singing the second act, but I did not hear the music. Slowly the desolate loneliness of my position became clear to me.","[""racism-and-the-color-line"", ""music-emotion-and-american-culture"", ""secrecy-purity-and-origins""]"
1,"I sat often with the tears rolling down my cheeks and my heart melted within me. Any musical person who has never heard a Negro congregation under the spell of religious fervor sing these old songs, has missed one of the most thrilling emotions which the human heart may experience. Anyone who can listen to Negroes sing, “Nobody knows de trouble I see, Nobody knows but Jesus,” without shedding tears, must indeed have a heart of stone.","[""music-emotion-and-american-culture""]"
1,What an interesting and absorbing game is money making!,"[""racism-and-the-color-line""]"
1,"“You are burnt beyond recognition,” he added, looking at his wife as one looks at a valuable piece of personal property which has suffered some damage.","[""women-s-rights-femininity-and-motherhood""]"
1,"Mrs. Pontellier’s eyes were quick and bright; they were a yellowish brown, about the color of her hair. She had a way of turning them swiftly upon an object and holding them there as if lost in some inward maze of contemplation and thought. … She was rather handsome than beautiful. Her face was captivating by reason of a certain frankness of expression and a contradictory subtle play of features. ","[""women-s-rights-femininity-and-motherhood"", ""realism-and-romanticism"", ""action-and-reflection""]"
1,"An indescribable oppression, which seemed to generate in some unfamiliar part of her consciousness, filled her whole being with a vague anguish. It was like a shadow, like a mist passing across her soul’s summer day. ","[""action-and-reflection""]"
1,"They were women who idolized their children, worshipped their husbands, and esteemed it a holy privilege to efface themselves as individuals and grow wings as ministering angels. ","[""women-s-rights-femininity-and-motherhood""]"
1,"Mrs. Pontellier was beginning to realize her position in the universe as a human being, and to recognize her relations as an individual to the world within and about her. ","[""convention-and-individuality"", ""women-s-rights-femininity-and-motherhood"", ""action-and-reflection""]"
1,"At a very early period she had apprehended instinctively the dual life—that outward existence which conforms, the inward life which questions.","[""convention-and-individuality"", ""action-and-reflection""]"
1,"A feeling of exultation overtook her, as if some power of significant import had been given her to control the working of her body and her soul. She grew daring and reckless, overestimating her strength. She wanted to swim far out, where no woman had swum before. ","[""action-and-reflection"", ""freedom-and-emptiness""]"
1,"She was blindly following whatever impulse moved her, as if she had placed herself in alien hands for direction, and freed her soul from responsibility. ","[""convention-and-individuality"", ""realism-and-romanticism"", ""action-and-reflection"", ""freedom-and-emptiness""]"
1,"Once she stopped, and taking off her wedding ring, flung it upon the carpet. When she saw it lying there, she stamped her heel upon it, striving to crush it. But the small boot heel did not make an indenture, not a mark upon the little glittering circlet. ","[""convention-and-individuality"", ""women-s-rights-femininity-and-motherhood"", ""freedom-and-emptiness""]"
1,"She felt no interest in anything about her. The street, the children, the fruit vender, the flowers growing there under her eyes, were all part and parcel of an alien world which had suddenly become antagonistic. ","[""freedom-and-emptiness""]"
1,"He could see plainly that she was not herself. That is, he could not see that she was becoming herself and daily casting aside that fictitious self which we assume like a garment with which to appear before the world. ","[""women-s-rights-femininity-and-motherhood"", ""freedom-and-emptiness""]"
1,She won’t go to the marriage. She says a wedding is one of the most lamentable spectacles on earth.,"[""convention-and-individuality"", ""women-s-rights-femininity-and-motherhood"", ""freedom-and-emptiness""]"
1,"He observed his hostess attentively from under his shaggy brows, and noted a subtle change which had transformed her from the listless woman he had known into a being who, for the moment, seemed palpitant with the forces of life. Her speech was warm and energetic. There was no repression in her glance or gesture. She reminded him of some beautiful, sleek animal waking up in the sun. ","[""women-s-rights-femininity-and-motherhood"", ""action-and-reflection"", ""freedom-and-emptiness""]"
1,"“One of these days,” she said, “I’m going to pull myself together for a while and think—try to determine what character of a woman I am; for, candidly, I don’t know. By all the codes which I am acquainted with, I am a devilishly wicked specimen of the sex. But some way I can’t convince myself that I am.” ","[""convention-and-individuality"", ""women-s-rights-femininity-and-motherhood""]"
1,"But as she sat there amid her guests, she felt the old ennui overtake her; the hopelessness which so often assailed her, which came upon her like an obsession, like something extraneous, independent of volition. … There came over her the acute longing which always summoned into her spiritual vision the presence of the beloved one. ","[""realism-and-romanticism"", ""freedom-and-emptiness""]"
1,"There was with her a feeling of having descended in the social scale, with a corresponding sense of having risen in the spiritual. Every step which she took toward relieving herself from obligations added to her strength and expansion as an individual. She began to look with her own eye: to see and apprehend the deeper undercurrents of life. ","[""convention-and-individuality"", ""action-and-reflection"", ""freedom-and-emptiness""]"
1,"She answered her husband with friendly evasiveness, - not with any fixed design to mislead him, only because all sense of reality had gone out of her life; she had abandoned herself to Fate, and awaited the consequences with indifference. ","[""action-and-reflection"", ""freedom-and-emptiness""]"
1,I always feel so sorry for women who don’t like to walk; they miss so much—so many rare little glimpses of life; and we women learn so little of life on the whole. ,"[""women-s-rights-femininity-and-motherhood"", ""freedom-and-emptiness""]"
1,"With an inward agony, with a flaming, outspoken revolt against the ways of Nature, she witnessed the scene of torture. ","[""convention-and-individuality"", ""women-s-rights-femininity-and-motherhood"", ""freedom-and-emptiness""]"
1,"There was no one thing in the world that she desired. There was no human being whom she wanted near her except Robert; and she even realized that the day would come when he, too, and the thought of him would melt out of her existence, leaving her alone. The children appeared before her like antagonists who had overcome her; who had overpowered and sought to drag her into the soul’s slavery for the rest of her days. But she knew a way to elude them.","[""women-s-rights-femininity-and-motherhood"", ""freedom-and-emptiness""]"
1,"“My income last year was bigger than it was when I had money. You see, the Czechs—”His boasting was for a specific purpose; but after a moment, seeing a faint restiveness in Lincoln’s eyes, he changed the subject:“Those are fine children of yours, well brought up, good manners.”","[""home-and-family"", ""transformation-and-redemption"", ""alcohol-immoderation-and-collapse""]"
1,"""First, we're going to that toy store in the Rue Saint-Honoré and buy you anything you like. And then we're going to the vaudeville at the Empire.""She hesitated. ""I like it about the vaudeville, but not the toy store.""""Why not?""""Well, you brought me this doll."" She had it with her. ""And I've got lots of things. And we're not rich any more, are we?""""We never were. But today you are to have anything you want.""""All right,"" she agreed resignedly.","[""wealth-and-poverty"", ""home-and-family""]"
1,"As I told you, I haven't had more than a drink a day for over a year, and I take that drink deliberately, so that the idea of alcohol won't get too big in my imagination. You see the idea?""""No,"" said Marion succinctly.""It's a sort of stunt I set myself. It keeps the matter in proportion.""""I get you,"" said Lincoln. ""You don't want to admit it's got any attraction for you.""""Something like that. Sometimes I forget and don't take it. But I try to take it.”","[""transformation-and-redemption"", ""alcohol-immoderation-and-collapse""]"
1,"""There's another thing."" Lincoln hesitated. ""While you and Helen were tearing around Europe throwing money away, we were just getting along. I didn't touch any of the prosperity because I never got ahead enough to carry anything but my insurance. I think Marion felt there was some kind of injustice in it—you not even working toward the end, and getting richer and richer.""""It went just as quick as it came,"" said Charlie.","[""wealth-and-poverty"", ""home-and-family"", ""transformation-and-redemption""]"
1,"""I heard that you lost a lot in the crash.""""I did,"" and he added grimly, ""but I lost everything I wanted in the boom.""""Selling short.""""Something like that.""","[""wealth-and-poverty"", ""home-and-family"", ""transformation-and-redemption"", ""alcohol-immoderation-and-collapse""]"
1,"So I must teach this Pentheus, teach all of Thebes,what kind of god I am.Once I am established hereI will move on to other lands and show myself there. But if Thebes tries to drive my Bacchaefrom the mountains by force of arms,I will marshal my Maenads and bring on war.I have readied myself for battle:put my deity aside and taken human form.","[""disguise-deception-and-identity"", ""gods-and-mortals"", ""violence""]"
1,CADMUSAre we the only men who'll dance for Dionysus?TIRESIASThe rest are blind. Only we can see.,"[""disguise-deception-and-identity"", ""gods-and-mortals""]"
1,CHORUSLook: the stone lintels gape from their columns!The Roaring One is pulling down the palace from inside!DIONYSUSSpark the lightning bolt!Let the flames feed on the house of Pentheus!,"[""gods-and-mortals"", ""order-vs-irrationality"", ""violence""]"
1,"PENTHEUSI see two suns in the sky;two cities of Thebes, each with seven gates.And you, my guide, you seem to be a bull.Horns grow from your head.Were you a beast all along? For you are a bull now.DIONYSUSThe god is with us.There were difficulties, but now we have a truce.You see now what you should have seen before. The god.PENTHEUSSo how do l look?A little like Aunt Ino, or a bit more like my mother?DIONYSUSThe very image of your mother, now I can see you plain.But let me fix this curl that's come astray.PENTHEUSIt must have been all that Bacchic ecstasy there in the palace.I was shaking my head so much!","[""disguise-deception-and-identity"", ""gods-and-mortals"", ""order-vs-irrationality""]"
1,"His own mother,like a priestess with her sacrifice, fell on him first.But he snatched off his headdress and wigso she could see who he was.He reached out his hand to touch her cheekand cried out: ""Mother! Mother! Look!It's me, Pentheus, Your own son!The son you bore to Echion!Spare me, Mother, I beg You!I have done wrong, Perhaps,but you cannot kill your own son!""But Agave's eyes were rolling,and her mouth filling with foam.In the grip of the god and the god's frenzy,it was as if she couldn't see him, couldn't hear.Grabbing his left hand at the wrist,she planted her foot against his flank and wrenched,pulling his arm straight out of his shoulder—not with her own strength but the strength of the god.","[""disguise-deception-and-identity"", ""gods-and-mortals"", ""order-vs-irrationality"", ""violence""]"
1,"The peasants' faces, so grim a moment before, softened under the influence of Mozart's limpid music like parched earth under a shower, and then, in the dancing light of the oil lamp, they blurred into one.","[""education-re-education-and-the-cultural-revolution"", ""storytelling-censorship-and-power""]"
1,"The sheer audacity of our trick did a lot to temper our resentment against the former opium growers who, now that they had been converted into ""poor peasants"" by the communist regime, were in charge of our re-education.","[""education-re-education-and-the-cultural-revolution"", ""storytelling-censorship-and-power""]"
1,"She's not civilized, at least not enough for me!","[""education-re-education-and-the-cultural-revolution"", ""coming-of-age""]"
1,"All this talk of literature was getting me down. We had been so unlucky. By the time we had finally learnt to read properly, there had been nothing left for us to read. For years the ""Western literature"" sections of the bookshops were devoted to the complete works of the Albanian Communist leader Enver Hoxha...","[""education-re-education-and-the-cultural-revolution"", ""storytelling-censorship-and-power""]"
1,"In spite of my complete ignorance of that distant land called France (I had heard Napoleon mentioned by my father a few times, that was all), Ursule's story rang as true as if it had been about my neighbors.","[""coming-of-age"", ""storytelling-censorship-and-power""]"
1,"""This fellow Balzac is a wizard,"" he went on. ""He touched the head of the mountain girl with an invisible finger, and she was transformed ... She ended up putting your wretched coat on (which looked very good on her, I must say). She said having Balzac's words next to her skin made her feel good, and also more intelligent.""","[""education-re-education-and-the-cultural-revolution"", ""storytelling-censorship-and-power""]"
1,"What this gentleman is looking for is precisely that: the authentic, robustly primitive words of ancient ditties.","[""education-re-education-and-the-cultural-revolution"", ""storytelling-censorship-and-power""]"
1,The change he had undergone since receiving his mother's letter was truly remarkable. A few days before it would have been unthinkable for him to snap at us like this. I hadn't suspected that a tiny glimmer of hope for the future could transform someone so utterly.,"[""education-re-education-and-the-cultural-revolution"", ""coming-of-age"", ""friendship-and-loyalty""]"
1,"But I shouldn't let it worry you too much. Right now, ignorance is in fashion, but one day the need for good doctors will be recognized once more. Besides, Chairman Mao is bound to need your father's services again.","[""education-re-education-and-the-cultural-revolution"", ""coming-of-age"", ""storytelling-censorship-and-power"", ""friendship-and-loyalty""]"
1,"""So are you weeping tears of joy?"" I said.""No. All I feel is loathing.""""Me too. Loathing for everyone who kept these books from us.""","[""education-re-education-and-the-cultural-revolution"", ""coming-of-age"", ""friendship-and-loyalty""]"
1,"In the ensuing political vacuum our village lapsed into quiet anarchy, and Luo and I stopped going to work in the fields without the villagers—themselves unwilling converts from opium farmers to guardians of our souls—raising the slightest objection.","[""education-re-education-and-the-cultural-revolution""]"
1,"It would evidently take more than a political regime, more than dire poverty to stop a woman from wanting to be well dressed: it was a desire as old as the world, as old as the desire for children.","[""storytelling-censorship-and-power""]"
1,"Before, I had no idea that you could take on the role of a completely different person, actually become that person—a rich lady, for example—and still be your own self.","[""education-re-education-and-the-cultural-revolution"", ""coming-of-age""]"
1,"I couldn't resist taking slight liberties, adding bits here and there by way of a personal touch to make the story more interesting to her. When I felt good old Balzac was running out of steam I would contribute little inventions of my own, or even insert whole scenes from another novel.","[""coming-of-age"", ""storytelling-censorship-and-power"", ""friendship-and-loyalty""]"
1,"I felt as if it were my child that she was carrying, as if it had been me and not Luo making love to her under the majestic gingko tree and in the limpid water of the secret pool. I was deeply moved; she was my soul mate and I was ready to spend the rest of my life taking care of her, content even to die a bachelor if that would help.","[""friendship-and-loyalty""]"
1,I wondered what was making me chase Luo across this treacherous mountain slope? Was it friendship? Was it affection for his girlfriend? Or was I merely an onlooker anxious not to miss the ending of a drama?,"[""coming-of-age"", ""storytelling-censorship-and-power"", ""friendship-and-loyalty""]"
1,"He could not see the table where the Justice sat and before which his father and his father’s enemy (our enemy he thought in that despair, ourn! mine and him both! He’s my father!) stood.","[""resentment-race-and-prejudice"", ""aspiration-desperation-and-defiance"", ""independence-and-justice"", ""loyalty-family-blood""]"
1,"I am a man who, from his youth upwards, has been filled with a profound conviction that the easiest way of life is the best.","[""isolation-and-the-unreliability-of-language"", ""charity-and-its-limits""]"
1,"She had on this pink top that was loose so it could have gone either way, if you were pregnant or if you weren’t. As far as I know, she wasn’t just then. It had these little openings on the shoulders and bows on the sleeves, though of course it was shot to hell now. ","[""feminism-and-solidarity-among-women"", ""disaster-and-survival""]"
1,"“Feeding a girl is like feeding the neighbor’s New Year Pig. All that work. In the end, it goes to some other family.” Lou Ann felt offended, but didn’t really know how to answer. She was a long way from her own family in Kentucky, but she didn’t see this as being entirely her fault. ","[""family-and-motherhood"", ""feminism-and-solidarity-among-women""]"
1,"By this time, I had developed a name for the child, at least for the time being. I called her Turtle, on account of her grip. She still wasn’t talking but she knew her name about as far as a cat ever does, which means that when you said it she would look up if she was in the right mood. ","[""family-and-motherhood"", ""nature"", ""disaster-and-survival""]"
1,"He moved around in there for quite a while before he said anything to Lou Ann, and it struck her that his presence was different from the feeling of women filling up the house. He could be there, or not, and it hardly made any difference. Like a bug or a mouse scratching in the cupboards at night – you could get up and chase after it, or just go back to sleep and let it be. That was good, she decided. ","[""family-and-motherhood"", ""feminism-and-solidarity-among-women"", ""nature""]"
1,"“So one time when I was working in this motel one of the toilets leaked and I had to replace the flapper ball. Here’s what it said on the package; I kept it till I knew it by heart: ‘Please Note. Parts are included for all installations, but no installation requires all of the parts.’ That’s kind of my philosophy about men. I don’t think there’s an installation out there that could use all of my parts.”","[""feminism-and-solidarity-among-women""]"
1,This whole conversation had started with a rhyme he used to help his students remember how to pronounce English vowels…Lou Ann and I had already told him three or four times that he spoke better English than the two of us combined. ,"[""belonging-and-homeland""]"
1,"“You are poetic, mi’ija.” “What’s miha?” “Mi hija,” he pronounced it slowly. “My something?” “My daughter. But it doesn’t work the same in English. We say it to friends. You would call me mi’ijo.”","[""family-and-motherhood"", ""feminism-and-solidarity-among-women"", ""belonging-and-homeland""]"
1,"But poor Scotty with his electricity and his trigonometry, he just didn’t belong to any group. It was like we were all the animals on Noah’s ark that came in pairs, except of his kind there was only the one.","[""family-and-motherhood"", ""disaster-and-survival""]"
1,"“It's terrible to lose somebody,” I said, “I mean, I don’t know firsthand, but I can imagine it must be. But it's also true that some people never have anybody to lose, and I think that's got to be so much worse.” ","[""family-and-motherhood"", ""disaster-and-survival""]"
1,"…If somebody offered to show me a picture of Dwayne Ray in the year 2001, I swear I wouldn’t look.” “Well, nobody’s going to,” I said gently, “so you don’t have to worry about it. There’s no such thing as dream angels. Only in the Bible, and that was totally another story.”","[""family-and-motherhood"", ""disaster-and-survival""]"
1,"I wasn’t really afraid, but there is something about seeing a snake that makes your stomach tighten, no matter how you make up your mind to feel about it. “Fair’s fair,” Mattie pointed out, as we skirted a wide path around the tree. “Everybody’s got her own mouths to feed.”","[""nature"", ""disaster-and-survival""]"
1,"“But the problem is that you have no legitimate claim. A verbal agreement with a relative isn’t good enough. You can’t prove to the police that it happened that way. That you didn’t kidnap her, for instance, or that the relatives weren’t coerced.” “No, I can’t prove anything. I don’t understand what you’re getting at. If I don’t have a legal claim on Turtle, I don’t see where anybody else does either.”","[""family-and-motherhood""]"
1,"“A human being can be good or bad or right or wrong, maybe. But how can you say a person is illegal? You just can't. That's all there is to it.”","[""belonging-and-homeland""]"
1,"Here were a mother and her daughter, nothing less. A mother and child – in a world that could barely be bothered with mothers and children – who were going to be taken apart. Everybody believed it. Possibly Turtle believed it. I did. ","[""family-and-motherhood"", ""disaster-and-survival""]"
1,"The wisteria vines on their own would just barely get by, is how I explained it to Turtle, but put them together with rhizobia and they make miracles. ","[""family-and-motherhood"", ""nature""]"
1,"In 1913, when Anthony Patch was twenty-five, two years were already gone since irony, the Holy Ghost of this later day, had, theoretically at least, descended upon him. Irony was the final polish of the shoe, the ultimate dab of the clothes-brush, a sort of intellectual “There!” – yet at the brink of this story he has as yet gone no further than the conscious stage.","[""dreams-and-reality"", ""immaturity-and-wisdom"", ""beauty-and-self-sabotage""]"
1,“Portrait of a Siren”,"[""dreams-and-reality"", ""beauty-and-self-sabotage""]"
1,"There was one of his lonelinesses coming, one of those times when he walked the streets or sat, aimless and depressed, biting a pencil at his desk. It was a self-absorption with no comfort, a demand for expression with no outlet, a sense of time rushing by, ceaselessly and wastefully—assuaged only by that conviction that there was nothing to waste, because all efforts and attainments were equally valueless.","[""wealth-and-waste"", ""dreams-and-reality"", ""immaturity-and-wisdom""]"
1,"Always the most poignant moments were when some artificial barrier kept them apart: in the theatre their hands would steal together, join, give and return gentle pressures through the long dark; in crowded rooms they would form words with their lips for each other’s eyes—not knowing that they were but following in the footsteps of dusty generations but comprehending dimly that if truth is the end of life happiness is a mode of it, to be cherished in its brief and tremulous moment. And then, one fairy night, May became June. Sixteen days now—fifteen—fourteen—","[""wealth-and-waste"", ""dreams-and-reality"", ""immaturity-and-wisdom""]"
1,"In a moment he would call Tana and they would pour into themselves a gay and delicate poison which would restore them momentarily to the pleasurable excitement of childhood, when every face in a crowd had carried its suggestion of splendid and significant transactions taking place somewhere to some magnificent and illimitable purpose…Life was no more than this summer afternoon; a faint wind stirring the lace collar of Gloria’s dress, the slow baking drowsiness of the veranda…Intolerably unmoved they all seemed, removed from any romantic imminency of action. Even Gloria’s beauty needed wild emotions, needed poignancy, needed death…","[""dreams-and-reality"", ""immaturity-and-wisdom"", ""beauty-and-self-sabotage""]"
1,"Things had been slipping perceptibly. There was the money question, increasingly annoying, increasingly ominous; there was the realization that liquor had become a practical necessity to their amusement – not an uncommon phenomenon in the British aristocracy of a hundred years ago, but a somewhat alarming one in a civilization steadily becoming more temperate and more circumspect. Moreover, both of them seemed vaguely weaker in fibre, not so much in what they did as in their subtle reactions to the civilization about them. ","[""wealth-and-waste"", ""dreams-and-reality""]"
1,"It occurred to him that all strongly accentuated classes, such as the military, divided men into two kinds: their own kind – and those without. To the clergyman there were clergy and laity, to the Catholic there were Catholics and non-Catholics, to the negro there were blacks and whites, to the prisoner there were the imprisoned and the free, and to the sick man there were the sick and the well. . . So, without thinking of it once in his life-time, he had been a civilian, a layman, a non-Catholic, a Gentile, white, free, and well. . .","[""wealth-and-waste"", ""dreams-and-reality""]"
1,"Gloria told over to herself the people who had visited them in the gray house at Marietta. It had seemed at the time that they were always having company – she had indulged in an unspoken conviction that each guest was ever afterward slightly indebted to her. They owed her a sort of moral ten dollars apiece, and should she ever be in need she might, so to speak, borrow from them this visionary currency. But they were gone, scattered like chaff, mysteriously and subtly vanished in essence or in fact. ","[""wealth-and-waste"", ""dreams-and-reality""]"
1,For a moment he did not doubt that the whole project was entirely natural and graceful. To his distorted imagination Bloeckman had become simply one of his old friends. ,"[""wealth-and-waste"", ""dreams-and-reality""]"
1,"“Last year I got twenty-two roses.” Lindsay flicks her cigarette butt out of the window and leans over for a slurp of coffee. “I’m going for twenty-five this year.”Each year before Cupid Day the student council sets up a booth outside the gym. For two dollars each, you can buy your friends Valograms—roses with little notes attached to them—which then get delivered by Cupids (usually freshman or sophomore girls trying to get in good with the upperclassman) throughout the day.","[""fate-vs-agency"", ""popularity-status-and-social-capital""]"
1,"I read once that you get déjà vu when the two halves of your brain process things at different speeds: the right half a few seconds before the left, or vice versa. Science is probably my worst subject, so I didn’t understand the whole post, but that would explain the weird double feeling that it leaves you with, like the world is splitting in half—or you are. That’s the way I feel, at least: like there’s a real me and a reflection of me, and I have no way of telling which is which.","[""fate-vs-agency"", ""rebirth-renewal-and-redemption""]"
1,"Here’s one of the things I learned that morning: if you cross a line and nothing happens, the line loses meaning. It’s like that old riddle about a tree falling in the forest, and whether it makes a sound if there’s no one around to hear it. You keep drawing a line farther and farther away, crossing it every time. That’s how people end up stepping off the edge of the earth. You’d be surprised at how easy it is to bust out of orbit, to spin out to a place where no one can touch you. To lose yourself—to get lost.","[""fate-vs-agency"", ""rebirth-renewal-and-redemption""]"
1,“I thought Cupid Day was one of your favorites.”,"[""fate-vs-agency"", ""popularity-status-and-social-capital"", ""rebirth-renewal-and-redemption""]"
1,"“Do you want any breakfast, Sam?” my mom asks. I never eat breakfast at home, but my mom still asks me every day—when she catches me before I duck out, anyway—and in that moment I realize how much I love the little everyday routines of my life: the fact that she always asks, the fact that I always say no because there’s a sesame bagel waiting for me in Lindsay’s car, the fact that we always listen to “No More Drama” as we pull into the parking lot. The fact that my mom always cooks spaghetti and meatballs on Sunday, and the fact that once a month my dad takes over the kitchen and makes his “special stew” which is just hot dog pieces and baked beans and lots of extra ketchup and molasses, and I would never admit to liking it, but it’s actually one of my favorite meals. The details that are my life’s special pattern, like how in handwoven rugs what really makes them unique are the tiny flaws in the stitching, little gaps and jumps and stutters that can never be reproduced. So many things become beautiful when you really look.","[""fate-vs-agency"", ""rebirth-renewal-and-redemption""]"
1,"The last time I have the dream it goes like this: I am falling, tumbling through the air, but this time the darkness is alive around me, full of beating things, and I realize that I'm not surrounded by dark but have only had my eyes closed all this time. I open them, feeling silly, and at the same time a hundred thousand butterflies take off around me, so many of them in so many brilliant colors they are like a solid rainbow, temporarily obscuring the sun. But as they wing higher and higher they reveal a landscape below us, all green and gold and sun-drenched fields and pink-tinged clouds drifting underneath me, and the air around me is clear and blue and sweet smelling, and I'm laughing, laughing, laughing as I spin through the air because, of course, I haven't been falling all this time.","[""fate-vs-agency"", ""rebirth-renewal-and-redemption""]"
